term years,presidents
1789-1793,GEORGE WASHINGTON (first term)
1793-1797,GEORGE WASHINGTON (second term)
1797-1801,JOHN ADAMS
1801-1805,THOMAS JEFFERSON (first term)
1805-1809,THOMAS JEFFERSON (second term)
1809-1813,JAMES MADISON (first term)
1813-1817,JAMES MADISON (second term)
1817-1821,JAMES MONROE (first term)
1821-1825,JAMES MONROE (second term)
1825-1829,JOHN QUINCY ADAMS
1829-1833,ANDREW JACKSON (first term)
1833-1837,ANDREW JACKSON (second term)
1837-1841,MARTIN VAN BUREN
1841-1845,WILLIAM HENRY HARRISON/JOHN TYLER
1845-1849,JAMES K. POLK
1849-1853,ZACHARY TAYLOR/MILLARD FILLMORE
1853-1857,FRANKLIN PIERCE
1857-1861,JAMES BUCHANAN
1861-1865,ABRAHAM LINCOLN
1865-1869,ANDREW JOHNSON
1869-1873,ULYSSES S. GRANT (first term)
1873-1877,ULYSSES S. GRANT (second term)
1877-1881,RUTHERFORD B. HAYES
1881-1885,JAMES A. GARFIELD/CHESTER A. ARTHUR
1885-1889,GROVER CLEVELAND
1889-1893,BENJAMIN HARRISON
1893-1897,GROVER CLEVELAND
1897-1901,WILLIAM MCKINLEY
1901-1905,WILLIAM MCKINLEY/THEODORE ROOSEVELT
1905-1909,THEODORE ROOSEVELT (first FULL term)
1909-1913,WILLIAM HOWARD TAFT
1913-1917,WOODROW WILSON (first term)
1917-1921,WOODROW WILSON (second term)
1921-1925,WARREN G. HARDING/CALVIN COOLIDGE 
1925-1929,CALVIN COOLIDGE
1929-1933,HERBERT HOOVER
1933-1937,FRANKLIN D. ROOSEVELT (first term)
1937-1941,FRANKLIN D. ROOSEVELT (second term)
1941-1945,FRANKLIN D. ROOSEVELT (third term)
1945-1949,FDR/Truman
1949-1953,HARRY S. TRUMAN
1953-1957,DWIGHT D. EISENHOWER (first term)
1957-1961,DWIGHT D. EISENHOWER (second term)
1961-1965,JOHN F. KENNEDY/LYNDON B. JOHNSON
1965-1969,LYNDON B. JOHNSON
1969-1973,RICHARD M. NIXON
1973-1977,RICHARD M. NIXON/GERALD R. FORD 
1977-1981,JIMMY CARTER
1981-1985,RONALD REAGAN (first term)
1985-1989,RONALD REAGAN (second term)
1989-1993,GEORGE H.W. BUSH
1993-1997,BILL CLINTON (first term)
1997-2001,BILL CLINTON (second term)
2001-2005,GEORGE W. BUSH (first term)
2005-2009,GEORGE W. BUSH (second term)
2009-2013,BARACK OBAMA (first term)
2013-2017,BARACK OBAMA (second term)
2017-2021,DONALD J. TRUMP
2021-2025,JOE BIDEN